Municipio,Fecha,Casos
SAN SALVADOR,2020-04-01,0.0
SOYAPANGO,2020-04-01,0.0
ILOPANGO,2020-04-01,0.0
APOPA,2020-04-01,0.0
DELGADO,2020-04-01,0.0
SANTO TOMAS,2020-04-01,0.0
MEJICANOS,2020-04-01,0.0
SAN MARTIN,2020-04-01,0.0
CUSCATANCINGO,2020-04-01,0.0
SAN MARCOS,2020-04-01,0.0
TONACATEPEQUE,2020-04-01,0.0
GUAZAPA,2020-04-01,0.0
AYUTUXTEPEQUE,2020-04-01,0.0
PANCHIMALCO,2020-04-01,0.0
AGUILARES,2020-04-01,0.0
ROSARIO DE MORA,2020-04-01,0.0
NEJAPA,2020-04-01,0.0
EL PAISNAL,2020-04-01,0.0
SANTIAGO TEXACUANGOS,2020-04-01,0.0
SANTA ANA,2020-04-01,0.0
EL CONGO,2020-04-01,0.0
CHALCHUAPA,2020-04-01,0.0
METAPAN,2020-04-01,1.0
COATEPEQUE,2020-04-01,0.0
SAN SEBASTIAN SALITRILLO,2020-04-01,0.0
SANTIAGO DE LA FRONTERA,2020-04-01,0.0
TEXISTEPEQUE,2020-04-01,0.0
EL PORVENIR,2020-04-01,0.0
CANDELARIA DE LA FRONTERA,2020-04-01,0.0
TURIN,2020-04-01,0.0
APANECA,2020-04-01,0.0
ATIQUIZAYA,2020-04-01,0.0
AHUACHAPAN,2020-04-01,0.0
SAN PEDRO PUXTLA,2020-04-01,0.0
GUAYMANGO,2020-04-01,0.0
JUJUTLA,2020-04-01,0.0
EL REFUGIO,2020-04-01,0.0
CONCEPCION DE ATACO,2020-04-01,0.0
SAN FRANCISCO MENENDEZ,2020-04-01,0.0
TACUBA,2020-04-01,0.0
SAN ANTONIO DEL MONTE,2020-04-01,0.0
CUISNAHUAT,2020-04-01,0.0
SALCOATITAN,2020-04-01,0.0
ACAJUTLA,2020-04-01,0.0
NAHUIZALCO,2020-04-01,0.0
SONSONATE,2020-04-01,0.0
SONZACATE,2020-04-01,0.0
IZALCO,2020-04-01,0.0
SANTA CATARINA MASAHUAT,2020-04-01,0.0
JUAYUA,2020-04-01,0.0
SANTO DOMINGO DE GUZMAN,2020-04-01,0.0
SANTA ISABEL ISHUATAN,2020-04-01,0.0
SAN JULIAN,2020-04-01,0.0
NAHUILINGO,2020-04-01,0.0
ARMENIA,2020-04-01,0.0
NUEVA CONCEPCION,2020-04-01,0.0
CHALATENANGO,2020-04-01,0.0
SAN MIGUEL DE MERCEDES,2020-04-01,0.0
