Fecha,Asintomático,Estable,Moderado,Grave,Critico
2020-03-30, ,27,0,4,1
2020-03-31, ,26,0,2,3
2020-04-01, ,26,4,5,4
2020-04-02, ,31,4,5,4
2020-04-03, ,38,6,5,4
2020-04-04, ,42,6,5,4
2020-04-05, ,49,6,5,4
2020-04-06, ,55,6,5,3
2020-04-07, ,66,6,5,2
2020-04-08, ,75,6,5,2
2020-04-09, ,81,6,5,4
2020-04-10, ,78,6,5,4
2020-04-11, ,83,6,6,3
2020-04-12, ,94,6,7,2
2020-04-13, ,103,6,7,2
2020-04-14, ,108,6,7,2
2020-04-15, ,110,6,7,2
2020-04-16, ,118,6,7,1
2020-04-17, ,126,6,7,1
2020-04-18,105,31,6,7,1
2020-04-19,117,33,6,7,2
2020-04-20,122,35,5,6,2
2020-04-21,120,34,5,5,3
2020-04-22,127,36,5,5,2
2020-04-23,132,37,5,5,2
2020-04-24,142,37,5,5,1
2020-04-25,156,35,5,5,4
2020-04-26,172,41,4,5,4
2020-04-27,186,37,4,5,4
2020-04-28,202,48,4,5,3
2020-04-29,206,50,4,5,3
2020-04-30,223,57,4,4,2
2020-05-01,228,59,4,5,2
2020-05-02,253,56,4,9,3
2020-05-03,266,74,9,12,2
2020-05-04,281,70,4,13,5
2020-05-05,310,69,4,13,4
2020-05-06,340,69,8,13,5
2020-05-07,377,74,6,9,4
2020-05-08,398,71,9,8,6
2020-05-09,476,81,9,7,6
2020-05-10,505,89,9,7,6
2020-05-11,483,92,34,12,10
2020-05-12,374,174,49,28,18
2020-05-13,403,185,51,29,19
2020-05-14,474,198,52,28,19
2020-05-15,444,227,66,39,23
2020-05-16,493,230,65,38,23
2020-05-17,424,290,116,53,26
2020-05-18,458,307,119,55,27
2020-05-19,491,318,118,55,27
2020-05-20,476,354,147,65,26
2020-05-21,526,363,149,66,26
2020-05-22,549,390,167,80,30
2020-05-23,597,410,169,81,29
2020-05-24,602,353,179,86,30
2020-05-25,592,329,181,87,30
2020-05-26,550,336,188,92,33
2020-05-27,549,291,189,92,32
2020-05-28,604,304,191,92,30
2020-05-29,600,344,222,114,45
2020-05-30,629,378,247,124,53
2020-05-31,657,389,249,125,53
2020-06-01,668,400,246,124,53
2020-06-02,648,406,247,125,51
2020-06-03,504,516,302,141,59
2020-06-04,523,524,301,141,58
2020-06-05,569,534,297,142,58
2020-06-06,241,714,436,187,77
2020-06-07,463,510,436,187,92
2020-06-08,486,478,453,200,103
2020-06-09,535,484,454,201,102
2020-06-10,578,489,447,197,101
2020-06-11,580,489,434,195,128
2020-06-12,567,476,423,201,126
2020-06-13,572,476,422,204,137
2020-06-14,592,490,421,199,138
2020-06-15,530,517,434,204,139
2020-06-16,511,535,449,213,143
2020-06-17,554,529,447,214,139
2020-06-18,602,531,446,218,136
2020-06-19,602,533,448,219,131
2020-06-20,611,546,461,239,136
2020-06-21,528,593,504,272,149
2020-06-22,563,567,501,272,143
2020-06-23,632,560,498,276,141
2020-06-24,613,559,496,288,138
2020-06-25,602,567,497,290,137
2020-06-26,504,570,543,348,172
2020-06-27,579,561,564,352,169
2020-06-28,661,574,597,357,172
2020-06-29,718,623,611,368,174
2020-06-30,762,639,619,391,179
